"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"C13,C12";"C_0805";2;"100n";;;
2;"F1";"R_0805";1;"Polyfuse";;;
3;"C9";"C_1808";1;"150n";;;
4;"REF**";"Heatsink_Fischer_FK24413D2PAK_26x13mm";1;"Heatsink_Fischer_FK24413D2PAK_26x13mm";;;
5;"C1,C2";"CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder";2;"10uF";;;
6;"D3";"D_SMB";1;"US1M";;;
7;"D2";"LED_0805_2012Metric_Castellated";1;"green";;;
8;"D1";"LED_0805_2012Metric_Castellated";1;"red";;;
9;"Q1";"TO-263-2";1;"STGB19NC60KDT4";;;
10;"U1";"SSO-6_6.8x4.6mm_P1.27mm_Clearance7mm";1;"ACPL-P343";;;
11;"R8,R5,R4,R3";"R_0805";4;"2.2k";;;
12;"R7";"R_0805";1;"18k";;;
13;"R6";"R_0805";1;"3.9k";;;
14;"R2";"R_2512";1;"6";;;
15;"P2";"RM3.5_1x2";1;"CONN_01X02";;;
16;"U6,U4,U3,U2";"non_plated_3mm";4;"non_plated";;;
17;"P3,P1";"RM5.08_1x2";2;"CONN_01X02";;;
18;"C11,C8";"C_0603";2;"100n";;;
19;"C10,C5,C7,C6,C3";"C_0805";5;"10µ";;;
20;"C4";"C_0805";1;"1µ";;;
21;"D4,D5";"SMA_Standard";2;"ES1J R2";;;
22;"L1";"NPI31W";1;"1m 250mA";;;
23;"R1";"R_0805";1;"1.2k";;;
24;"U5";"SOIC-7";1;"LNK304D";;;
